Params;MeanMAE;MeanR2
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'sgd'};-0.20838968704332433;0.8264821412823341
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'};-0.20141485814019475;0.8267422013303822
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.23602931719459713;0.8282885168779105
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.20904171369782523;0.8307172920847286
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'};-0.20855079770714102;0.8326085665119276
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'sgd'};-0.21122816884695825;0.832717421690028
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.21243528930506272;0.8337384215619347
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'adam'};-0.20177434753575976;0.8339328532470895
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'adam'};-0.19526438490310574;0.8343625018404104
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'};-0.19882817766892444;0.8347544969307551
