location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Schildergasse (West), Köln;2018-05-05 07:00:00 +0200;Saturday;225;7;clear-day;
Schildergasse (West), Köln;2018-05-05 08:00:00 +0200;Saturday;448;9;clear-day;
Schildergasse (West), Köln;2018-05-05 09:00:00 +0200;Saturday;1633;13;clear-day;
Schildergasse (West), Köln;2018-05-05 10:00:00 +0200;Saturday;4591;16;clear-day;
Schildergasse (West), Köln;2018-05-05 11:00:00 +0200;Saturday;7934;18;clear-day;
Schildergasse (West), Köln;2018-05-05 12:00:00 +0200;Saturday;10479;20;clear-day;
Schildergasse (West), Köln;2018-05-05 13:00:00 +0200;Saturday;12075;21;clear-day;
Schildergasse (West), Köln;2018-05-05 14:00:00 +0200;Saturday;12572;22;clear-day;
Schildergasse (West), Köln;2018-05-05 15:00:00 +0200;Saturday;12633;23;clear-day;
Schildergasse (West), Köln;2018-05-05 16:00:00 +0200;Saturday;12605;24;clear-day;
Schildergasse (West), Köln;2018-05-05 17:00:00 +0200;Saturday;11925;24;clear-day;
Schildergasse (West), Köln;2018-05-05 18:00:00 +0200;Saturday;10633;24;clear-day;
Schildergasse (West), Köln;2018-05-05 19:00:00 +0200;Saturday;8277;23;clear-day;
Schildergasse (West), Köln;2018-05-05 20:00:00 +0200;Saturday;4379;22;clear-day;
Schildergasse (West), Köln;2018-05-05 21:00:00 +0200;Saturday;1882;19;clear-night;
Schildergasse (West), Köln;2018-05-05 22:00:00 +0200;Saturday;1032;17;clear-night;
Schildergasse (West), Köln;2018-05-05 23:00:00 +0200;Saturday;838;16;clear-night;
Schildergasse (West), Köln;2018-05-06 00:00:00 +0200;Sunday;512;14;clear-night;
Schildergasse (West), Köln;2018-05-06 01:00:00 +0200;Sunday;298;12;clear-night;
Schildergasse (West), Köln;2018-05-06 02:00:00 +0200;Sunday;135;11;clear-night;
Schildergasse (West), Köln;2018-05-06 03:00:00 +0200;Sunday;125;10;clear-night;
Schildergasse (West), Köln;2018-05-06 04:00:00 +0200;Sunday;61;9;clear-night;
Schildergasse (West), Köln;2018-05-06 05:00:00 +0200;Sunday;64;9;clear-night;
Schildergasse (West), Köln;2018-05-06 06:00:00 +0200;Sunday;45;8;clear-night;
